"Gene.symbol","adj.P.Val","logFC"
"GBP5",0.000912,7.4
"GBP4",0.000912,7.29
"CXCL13",0.000912,7.15
"CCR7",0.000912,7.08
"IFI44L",0.000912,6.16
"CGNL1",0.000912,6.05
"GBP7",0.000912,7.35
"IDO1",0.000912,6.16
"TNFAIP6",0.000912,7.22
"SLAMF1",0.000912,6.43
"MAF",0.000912,-5.81
"LAG3",0.000912,5.53
"SLCO5A1",0.001007,6.18
"GBP1",0.001082,6.73
"SRSF12",0.001082,5.78
"CDC42EP2",0.001235,5.45
"FAM26F",0.001418,7.54
"ABTB2",0.001418,5.08
"SOCS1",0.001466,5.13
"ISG20",0.001466,4.74
"SLAMF7",0.001466,5.04
"ETV7",0.001466,6.73
"LAMP3",0.001466,8.32
"TAP1",0.001466,4.67
"BCL2L14",0.001466,8.05
"LINC01093",0.001538,6.25
"C1R",0.001538,6.15
"SAA1",0.001538,4.45
"ELOVL7",0.001538,6.09
"LINC00158",0.001538,5.8
"ADAM19",0.001538,4.73
"GUCY1A3",0.001538,5.62
"CCL5",0.001928,5.85
"C11orf96",0.001928,6.83
"G0S2",0.002393,5.77
"IL15RA",0.002393,4.27
"ADORA2A",0.002393,5.3
"LINC01539",0.002393,4.08
"MAP3K13",0.002393,4.37
"GCH1",0.002393,4.68
"LDLRAD4",0.002393,-4.47
"RSAD2",0.002422,7.15
"MCOLN2",0.002751,5.29
"ANKH",0.002835,-4.85
"TRAF1",0.003068,4.58
"SYNPO2",0.003331,7.1
"CXCL11",0.003389,5.34
"PRAME",0.003389,5.59
"TNFAIP3",0.003389,4.15
"SOD2",0.00343,5.24
"VEGFC",0.00343,5.87
"USP30-AS1",0.00343,4.88
"GBP2",0.003454,4.27
"MYH11",0.0037,4.74
"ZC3H12A",0.003835,4.1
"FLRT2",0.003835,-4.58
"IFITM3",0.004146,3.81
"NINL",0.004146,-3.85
"OAS3",0.004146,4.15
"PTGS2",0.004146,5.76
"MAZ",0.004146,3.84
"STMN1",0.004146,-4.21
"IFIT3",0.004159,6.35
"FERMT2",0.00418,5.65
"ITGB8",0.004265,4.31
"APOL3",0.004265,5.32
"HAPLN3",0.004466,5.95
"EDN1",0.004466,5.26
"TMEM54",0.004566,3.44
"CD36",0.004566,-5.93
"PDE4B",0.004599,5.27
"GPR34",0.004623,-7.93
"XAF1",0.004642,3.32
"SPAG8",0.004691,-3.87
"OASL",0.004757,5.72
"IFITM1",0.00479,3.75
"HIST2H2AA4",0.004792,3.41
"HADH",0.004939,-3.53
"BATF2",0.00497,3.88
"TIAM2",0.005319,4.22
"IDO2",0.005391,6.29
"FAS",0.005391,5
"LOC100129935",0.00549,4.09
"RHOH",0.00549,3.46
"OAS2",0.00549,4
"ISG15",0.00549,4.91
"VAMP5",0.005543,3.22
"SOX5",0.005543,4.24
"HERC6",0.005543,3.43
"TNF",0.005543,3.91
"EEPD1",0.005543,-6.34
"IL31RA",0.005648,4.97
"SAA2",0.005797,3.72
"RAB30",0.0058,4.09
"APOL1",0.005864,3.51
"SERPINB7",0.005864,3.65
"RAB29",0.005864,3.25
"CLEC4E",0.005942,3.9
"FAM198B",0.006078,-4.38
"OPTN",0.006194,3.97
"BIRC3",0.006404,4.16
"RAB40B",0.006587,-3.3
"PLCB4",0.006587,3.38
"CFLAR",0.006587,3.79
"NKX3-1",0.006903,4.26
"PDK3",0.006903,-3.72
"TMEM170B",0.007122,-4.15
"BHLHE22",0.007122,3.87
"ASPHD2",0.00731,3.13
"PLA2G12A",0.007356,-3.21
"LIMK2",0.007356,4.03
"FBXO16",0.007467,-3.46
"ANKRD33B",0.007537,3.84
"GUCY1B3",0.007537,3.81
"CSF3",0.007563,3.79
"IRF7",0.007648,3.62
"ADAMTS4",0.007839,3.82
"SMIM4",0.007839,-3.23
"MX1",0.008015,4.46
"SERPINB3",0.008015,5.74
"EHD1",0.008015,2.91
"MYO10",0.008015,3.65
"HLA-DOB",0.008015,3.4
"AIM2",0.008015,5.29
"ZHX3",0.008015,-2.94
"RHEBL1",0.008015,3.55
"PDGFC",0.008015,-5.97
"CXCL10",0.008015,4.83
"PSME2",0.008216,3.76
"RASAL1",0.008232,-2.89
"STK17A",0.008232,3.31
"CXCL9",0.008232,7.56
"TNFSF10",0.008232,4.71
"KAT2A",0.008232,-2.81
"HIST1H2AD",0.008236,3.03
"DUSP8",0.008272,3.07
"SCRG1",0.008299,-3.18
"KIAA0930",0.008299,-2.94
"PLXDC2",0.008299,-2.89
"CTNNBIP1",0.008299,-3.4
"ADORA3",0.008646,-5.33
"IFITM4P",0.00875,3.45
"TMEM139",0.009106,3.88
"RIPK2",0.009219,3.58
"FITM2",0.009408,-3.21
"BATF3",0.00963,4.85
"ZBED3",0.009921,-2.91
"SLC39A8",0.009941,3.48
"SAMD9L",0.009941,3.72
"MBP",0.009941,-3.72
"STAT1",0.009961,3.15
"PLB1",0.010007,-4.03
"MARCKSL1",0.010007,2.9
"RUFY3",0.010158,3.24
"COTL1",0.010238,-4.23
"C1orf162",0.010238,-3.5
"TGM1",0.010238,2.76
"S100B",0.010238,-3.92
"PRKACB",0.010238,-4.84
"UBD",0.010417,7.12
"SERPINB9",0.010419,3.59
"PLA1A",0.010752,5.05
"UNC5B",0.010752,-3.47
"ITGA1",0.01079,4.99
"EXOC3L4",0.01079,4.02
"PPA1",0.010847,3.96
"RGS18",0.010883,-4.29
"C15orf52",0.010903,-3.62
"ICAM1",0.010903,3.03
"APOBEC3A",0.010903,8.57
"TNIP1",0.010903,3.26
"ARHGAP6",0.011009,-4.55
"BAIAP2",0.011009,-3.77
"SLC4A7",0.011104,-3.23
"IRF6",0.011104,3.21
"ASIC1",0.011104,-3.84
"KLF5",0.01111,3.88
"CDKN2B",0.01111,3.04
"RNASE6",0.011122,-3.82
"KYNU",0.011292,2.7
"SEMA4D",0.011292,2.76
"PIM3",0.011388,2.69
"PML",0.011388,2.75
"NOCT",0.011467,2.75
"NFKBIE",0.011467,3.13
"TFPI2",0.011607,5.82
"IRF1",0.011607,4.04
"GJB2",0.011607,3.5
"HESX1",0.011947,3.27
"PCSK6",0.011947,-3.56
"MBNL3",0.011947,-3.14
"IL7R",0.011982,4.62
"SH3PXD2A",0.011982,-4.37
"DYNC2H1",0.011982,-2.65
"SLC39A10",0.011982,-4.26
"GOLM1",0.012089,2.6
"NT5DC2",0.012182,-4.01
"RCBTB2",0.012288,-3.51
"C1RL",0.012646,4.69
"IFIH1",0.012646,3.16
"SNX10",0.012646,4.31
"ALDH5A1",0.012646,-2.88
"SLC25A28",0.01267,2.83
"ASRGL1",0.012681,-2.7
"TRERF1",0.012693,-3.88
"TGFBI",0.012771,-3.31
"PSMB9",0.013115,3.3
"CLEC4A",0.013115,-3.92
"OSBPL3",0.013115,-3.14
"PYGL",0.013115,-2.64
"TGFBR2",0.013275,-4.37
"CCM2L",0.013275,3.62
"BRIP1",0.013275,4.75
"GRAMD4",0.013275,-3.8
"CR1",0.013275,-3.35
"BSPRY",0.01344,5.12
"ANXA9",0.013513,-2.94
"TXN",0.013513,4.6
"LGR4",0.013529,-4.46
"SOCS2",0.013546,4.28
"NFKBIA",0.013546,3.76
"GFPT2",0.013546,2.67
"SLC43A1",0.013546,-2.71
"GAS2L3",0.013546,-3.4
"SLC27A1",0.013546,-3.13
"PPP3CC",0.013546,2.78
"CD274",0.01359,5.38
"CLEC3B",0.013637,-2.76
"LARP6",0.013637,2.97
"SSTR2",0.013674,3.54
"GRAMD1B",0.013674,2.84
"F2RL2",0.013822,3.45
"HEATR9",0.013822,4.1
"TMA7",0.013822,-2.46
"ACPP",0.013822,2.64
"KANK2",0.013822,-3.1
"KLHDC7B",0.013914,3.47
"CRYBB1",0.013914,-3.71
"BBS5",0.013914,-2.9
"NOD2",0.013914,2.9
"IFITM2",0.014366,2.57
"KCNK5",0.014366,2.91
"PCM1",0.014366,-2.5
"PARP9",0.014366,2.49
"SLC37A2",0.014561,-3.08
